,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1939524,168.8654783,55.8,55,100,2.55,NZ,1662940196
1,zhigansk,66.75206399999999,123.394112,36.86,83,41,9.69,RU,1662940197
2,butaritari,3.1166667,172.8,82.06,71,89,10.74,KI,1662940197
3,punta arenas,-53.1633845,-70.9078263,43.09,61,40,17.27,CL,1662940198
4,rikitea,-23.1223034,-134.9691543,73.13,73,3,5.41,PF,1662940199
5,bengkulu,-3.792845099999999,102.2607641,75.58,83,64,3.49,ID,1662940199
6,port alfred,-33.5864065,26.8851448,56.26,93,99,3.0,ZA,1662940200
7,yining,43.9771499,81.52732,50.07,92,100,5.86,CN,1662940200
8,arraial do cabo,-22.9667613,-42.0277716,67.26,71,100,7.05,BR,1662940201
9,gimbi,9.186040199999999,35.8334494,55.47,99,98,2.57,ET,1662940201
10,kaitangata,-46.2858467,169.8460662,54.57,57,100,1.34,NZ,1662940202
11,borogontsy,62.679165,131.152863,42.82,68,24,5.14,RU,1662940203
12,atuona,-9.8028605,-139.0398069,77.7,69,0,15.37,PF,1662940203
13,kanniyakumari,8.0883064,77.5384507,76.53,86,73,14.7,IN,1662940204
14,henties bay,-22.1134964,14.2832038,53.87,92,1,6.33,NA,1662940205
15,vaitupu,-7.476732699999999,178.6747675,81.43,78,11,16.71,TV,1662940205
16,hobart,-42.8826055,147.3257196,46.18,74,20,11.5,AU,1662940206
17,vityazevo,45.0020184,37.2881631,59.4,88,0,6.71,RU,1662940206
18,cape town,-33.9248685,18.4240553,53.11,74,0,8.05,ZA,1662940207
19,hervey bay,-25.2881539,152.7676633,67.14,66,100,11.01,AU,1662940208
20,sao filipe,14.8951679,-24.4945636,77.85,82,19,12.48,CV,1662940208
21,balsta,59.5669027,17.5300882,51.89,83,59,3.83,SE,1662940209
22,tura,40.7515497,-73.9869104,71.15,88,100,8.05,US,1662939723
23,coquimbo,-29.9590009,-71.3389183,55.27,71,0,8.05,CL,1662940210
24,illoqqortoormiut,70.48556909999999,-21.9628756,35.69,89,43,6.29,GL,1662940210
25,tuatapere,-46.1315913,167.6896869,52.09,78,100,5.21,NZ,1662940211
26,hilo,19.7216023,-155.084887,90.55,75,0,12.66,US,1662940211
27,saskylakh,71.954308,114.119835,33.58,80,89,6.98,RU,1662940212
28,contai,21.778109,87.7517427,78.85,93,100,16.49,IN,1662940212
29,lebu,-37.6080479,-73.6514907,49.3,88,67,3.96,CL,1662940213
30,busselton,-33.6516465,115.3473335,61.56,84,64,11.72,AU,1662940213
31,bolungarvik,66.1517719,-23.261709,47.59,61,73,4.74,IS,1662940214
32,iqaluit,63.74669300000001,-68.5169669,46.53,81,75,8.05,CA,1662940214
33,port said,31.2652893,32.3018661,78.67,89,40,8.05,EG,1662940215
34,ushuaia,-54.8019121,-68.3029511,42.42,61,40,23.02,AR,1662940215
35,aklavik,68.219916,-135.007788,44.15,85,100,3.53,CA,1662940216
36,upernavik,72.7862881,-56.1375527,40.23,94,100,14.54,GL,1662940216
37,sechura,-5.5622396,-80.8187744,65.14,72,7,16.22,PE,1662940217
38,sawtell,-30.3679471,153.0995008,67.93,56,40,9.22,AU,1662940218
39,mahajanga,-15.6921494,46.3336857,69.91,88,20,1.14,MG,1662940218
40,pictou,45.679332,-62.720603,67.73,68,0,10.36,CA,1662940219
41,saldanha,-33.0276981,17.9176312,46.36,72,1,15.77,ZA,1662940219
42,hermanus,-34.4092004,19.2504436,48.9,68,93,3.62,ZA,1662940220
43,kazalinsk,45.7640559,62.0999125,53.51,55,15,6.46,KZ,1662940220
44,hasaki,40.72969990000001,-73.98881349999999,71.31,88,100,8.05,US,1662940097
45,vaini,-21.1935,-175.1751534,80.85,74,20,9.22,TO,1662940221
46,tasiilaq,65.6134561,-37.6335696,39.13,78,100,9.64,GL,1662940222
47,coahuayana,18.7372222,-103.6688888,83.07,80,100,2.75,MX,1662940222
48,narsaq,60.9129622,-46.050483,46.08,88,84,5.28,GL,1662940223
49,ponta delgada,37.7394207,-25.6686725,72.32,64,20,17.27,PT,1662940223
50,albany,42.6525793,-73.7562317,69.98,85,100,1.01,US,1662940224
51,lagoa,37.1356176,-8.4514359,67.69,88,100,7.96,PT,1662940224
52,hithadhoo,-0.6094628,73.0907,81.7,72,30,14.07,MV,1662940225
53,xuddur,4.1228001,43.88880959999999,70.05,73,79,14.0,SO,1662940225
54,bethel,47.0143327,-122.4360668,73.89,46,40,5.75,US,1662940226
55,puerto ayora,-0.7432918,-90.3156893,66.97,89,78,5.01,EC,1662940227
56,kapaa,22.0947394,-159.3245926,79.92,77,100,8.05,US,1662940227
57,sambava,-14.2713338,50.1678121,67.39,87,73,10.02,MG,1662940228
58,florianopolis,-27.5948036,-48.5569286,62.22,65,40,2.3,BR,1662939975
59,sosua,19.7519321,-70.5189177,85.3,84,20,11.5,DO,1662940228
60,jamestown,37.2116383,-76.7752102,80.6,94,75,14.97,US,1662940229
61,katsuura,35.1522272,140.3208833,76.98,83,91,18.54,JP,1662940229
62,gladstone,-23.8426494,151.2488592,69.94,60,40,6.91,AU,1662940230
63,taolanaro,-25.0225309,46.9853688,69.76,83,0,8.05,MG,1662940230
64,itarema,-2.9242369,-39.9129274,77.74,83,12,17.6,BR,1662940231
65,xixiang,32.9830599,107.76669,67.51,88,21,1.63,CN,1662940231
66,tsihombe,-25.3168473,45.48630929999999,65.7,73,0,0.49,MG,1662940232
67,sarangani,5.926717500000001,124.994751,75.94,70,43,0.11,PH,1662940233
68,tuktoyaktuk,69.445358,-133.034181,39.2,87,100,3.44,CA,1662940233
69,kostroma,57.7677078,40.9262609,41.36,79,94,7.25,RU,1662940234
70,sorland,67.6635735,12.6926738,49.98,85,100,12.15,NO,1662940235
71,barentsburg,78.0648475,14.2334595,34.02,89,100,6.4,SJ,1662940236
72,lavrentiya,65.58354899999999,-171.038925,44.85,81,100,18.79,RU,1662940237
73,tumannyy,68.878911,35.6675264,43.52,96,100,0.87,RU,1662940237
74,torbay,50.4619209,-3.525315,63.45,94,80,1.99,GB,1662940238
75,sehwan,26.412225,67.8629399,87.31,64,63,6.89,PK,1662940238
76,cherskiy,68.742677,161.350784,43.65,75,97,7.34,RU,1662940239
77,ekibastuz,51.725198,75.3150684,48.65,83,100,21.79,KZ,1662940239
78,mar del plata,-38.0054771,-57.5426106,55.11,83,0,20.0,AR,1662940240
79,taranagar,28.6714683,75.0354017,86.02,54,2,7.76,IN,1662940240
80,xining,36.6172899,101.77782,51.57,70,0,2.59,CN,1662940241
81,port shepstone,-30.7276956,30.447285,64.62,66,94,17.67,ZA,1662940241
82,telma,13.046707,80.0556129,80.42,89,40,5.75,IN,1662940242
83,amahai,-3.3393615,128.9229993,78.8,83,99,1.32,ID,1662940242
84,thompson,55.7451003,-97.8509232,70.02,32,20,10.36,CA,1662940243
85,cockburn town,21.4674584,-71.13891009999999,84.06,70,40,6.91,TC,1662940243
86,mahebourg,-20.4059505,57.7034222,66.69,94,75,3.44,MU,1662940244
87,thano bula khan,25.3625295,67.8361137,84.34,64,92,4.43,PK,1662940244
88,caravelas,-17.7336523,-39.265271,69.64,78,8,3.62,BR,1662940245
89,faanui,-16.4867378,-151.7429125,79.21,71,7,15.86,PF,1662940245
90,margate,26.2445263,-80.206436,84.97,72,20,4.61,US,1662940246
91,sembe,1.6201529,14.8454619,69.76,93,98,3.04,CG,1662940246
92,cidreira,-30.1768565,-50.2089209,55.8,72,40,11.72,BR,1662940247
93,kiama,-34.669198,150.8528343,64.02,51,50,8.99,AU,1662940247
94,komsomolskiy,67.55011859999999,63.7827838,33.76,96,89,8.7,RU,1662940248
95,airai,7.364184199999999,134.5360667,82.13,76,99,13.69,PW,1662940249
96,saleaula,-13.4482906,-172.3367114,79.81,83,37,16.58,WS,1662940249
97,vozhega,60.47353479999999,40.2132391,41.2,83,52,4.34,RU,1662940250
98,ahipara,-35.1713175,173.1533354,60.64,88,25,19.48,NZ,1662940250
99,port hardy,50.7207083,-127.4968729,62.55,82,75,8.05,CA,1662940251
100,buraydah,26.3592309,43.98181200000001,82.92,11,0,5.01,SA,1662940251
101,vila velha,-20.3518079,-40.3079697,71.58,87,100,12.66,BR,1662940252
102,kavaratti,10.5593204,72.63581340000002,80.38,83,100,19.08,IN,1662940252
103,pevek,69.7029321,170.3070329,41.04,74,69,6.31,RU,1662940253
104,longyearbyen,78.22317220000001,15.626723,35.74,80,75,12.66,SJ,1662940253
105,felipe carrillo puerto,19.5803342,-88.0440957,80.04,86,100,3.85,MX,1662940254
106,dongsheng,39.8212699,109.96144,62.87,47,0,3.65,CN,1662940254
107,port elizabeth,-33.9608369,25.6022423,53.29,94,75,5.75,ZA,1662940255
108,itagi,15.4437576,75.9680952,70.92,90,100,19.98,IN,1662940255
109,alta floresta,-9.868177,-56.0835241,82.27,26,16,2.62,BR,1662940256
110,klaksvik,62.2271922,-6.5779063,43.0,91,76,8.3,FO,1662940256
111,kununurra,-15.7783483,128.7439001,82.33,61,15,4.61,AU,1662940257
112,nyazepetrovsk,56.05075249999999,59.5980666,42.84,96,99,2.15,RU,1662940257
113,norman wells,65.28149379999999,-126.8286524,60.84,44,75,13.8,CA,1662940258
114,conakry,9.641185499999999,-13.5784012,72.39,94,98,4.79,GN,1662940259
115,omsukchan,62.50940980000001,155.7859171,42.82,72,75,5.86,RU,1662940259
116,haines junction,60.7525084,-137.510162,57.15,41,65,6.91,CA,1662940260
117,ngukurr,-14.733834,134.7322863,86.97,49,5,6.51,AU,1662940260
118,gashua,12.8764967,11.0315823,81.48,63,32,7.23,NG,1662940261
119,galveston,29.3013479,-94.7976958,91.51,62,0,9.22,US,1662940072
120,mandla,22.5979218,80.3713855,71.35,95,86,1.05,IN,1662940262
121,venado tuerto,-33.7455566,-61.9690161,53.76,33,64,8.72,AR,1662940263
122,pala,33.3652166,-117.0764739,85.03,68,75,9.22,US,1662940263
123,bredasdorp,-34.5385222,20.0568771,47.98,79,81,2.62,ZA,1662940264
124,fevralsk,52.4558058,130.8558098,47.89,97,100,6.11,RU,1662940264
125,tiksi,71.63748199999999,128.8644716,36.93,76,93,14.81,RU,1662940265
126,zyryanka,65.767376,150.841238,43.63,83,100,13.67,RU,1662940265
127,khatanga,71.964027,102.440613,32.58,78,70,5.01,RU,1662940266
128,le port,-20.9357423,55.2903451,72.9,81,3,6.53,RE,1662940266
129,saint-philippe,-21.3595223,55.7665126,67.59,79,37,9.91,RE,1662940267
130,bonavista,48.6533449,-53.11182489999999,57.99,97,100,27.63,CA,1662940267
131,ribeira grande,37.8210369,-25.5148137,71.85,82,20,17.27,PT,1662940268
132,biltine,14.5333333,20.9166667,86.23,43,79,1.63,TD,1662940269
133,ostrovnoy,68.0603191,39.4740385,46.94,97,100,3.4,RU,1662940269
134,carnarvon,-24.8838363,113.6570584,66.96,64,76,2.08,AU,1662940270
135,georgetown,38.9076089,-77.07225849999999,78.06,89,75,4.61,US,1662940270
136,biggar,55.623396,-3.523964,61.34,98,100,6.55,GB,1662940271
137,praia da vitoria,38.7339162,-27.0646976,70.75,88,75,19.8,PT,1662940271
138,mamburao,13.2681778,120.6204892,81.48,79,92,3.91,PH,1662940272
139,yellowknife,62.4539717,-114.3717886,48.4,81,75,11.99,CA,1662940188
140,alotau,-10.3157027,150.4587795,85.73,66,82,3.27,PG,1662940273
141,ketchikan,55.34222219999999,-131.6461111,64.87,48,0,8.05,US,1662940273
142,istisu,39.9496577,45.9602292,49.12,56,0,3.36,AZ,1662940274
143,port lincoln,-34.7226381,135.8597449,54.46,82,68,8.61,AU,1662940274
144,victoria,-36.9847807,143.3906074,47.86,74,96,7.61,AU,1662940275
145,los amates,15.2557072,-89.09672309999999,78.94,91,88,1.97,GT,1662940275
146,salinopolis,-0.623754,-47.3457995,78.84,84,87,10.69,BR,1662940276
147,arlit,18.7390029,7.3894772,93.16,10,43,14.67,NE,1662940276
